Reaction,EC-Number,Substrates,Products of reaction,Enzymes of a reaction,Genes of a reaction,Pathways of a reaction
"2,3,4-saturated fatty acyl-[acp] dehydrogenase",EC-1.3.1.10 // EC-1.3.1.104 // EC-1.3.1.39,"NADP<sup>+</sup> // a 2,3,4-saturated fatty acyl-[acp] // NADPH // a <i>trans</i>-2-enoyl-[acyl-carrier protein] // H<SUP>+</SUP>","a 2,3,4-saturated fatty acyl-[acp] // NADP<sup>+</sup>",enoyl-[acyl-carrier-protein] reductase,fabI,fatty acid elongation -- saturated
CTP + H2O  ->  CDP + phosphate + H+,EC-3.6.1.15,CTP // H<sub>2</sub>O // H<SUP>+</SUP> // phosphate // CDP,H<SUP>+</SUP> // phosphate // CDP,,,pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I
ITP + H2O  ->  IMP + diphosphate + H+,EC-3.6.1.66 // EC-3.6.1.9,H<sub>2</sub>O // ITP // H<SUP>+</SUP> // IMP // diphosphate,H<SUP>+</SUP> // IMP // diphosphate,dITP/XTP pyrophosphatase // nucleoside triphosphate pyrophosphohydrolase,rdgB,
(R)-lactate + NAD+  <-->  pyruvate + NADH + H+,EC-1.1.1.28,(<i>R</i>)-lactate // NAD<sup>+</sup> // H<SUP>+</SUP> // NADH // pyruvate,H<SUP>+</SUP> // NADH // pyruvate,D-lactate dehydrogenase,ldhA,mixed acid fermentation // pyruvate fermentation to (<i>R</i>)-lactate
"2,3-Dihydroxy-3-methylvalerate dehydratase",EC-4.2.1.9,"(<i>R</i>)-2,3-dihydroxy-3-methylpentanoate // (3<i>S</i>)-3-methyl-2-oxopentanoate // H<sub>2</sub>O",(3<i>S</i>)-3-methyl-2-oxopentanoate // H<sub>2</sub>O,dihydroxy-acid dehydratase,ilvD,L-isoleucine biosynthesis I (from threonine)
acetyl-CoA + phosphate  <-->  acetyl phosphate + coenzyme A,EC-2.3.1.8,acetyl-CoA // phosphate // acetyl phosphate // coenzyme A,acetyl phosphate // coenzyme A,phosphate acetyltransferase EutD // phosphate acetyltransferase,pta // eutD,mixed acid fermentation // pyruvate fermentation to acetate IV // ethanolamine utilization // acetate and ATP formation from acetyl-CoA I
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+,EC-2.7.13.3,ATP // a [protein]-L-histidine // a [protein]-<i>N</i>-phospho-L-histidine // ADP // H<SUP>+</SUP>,a [protein]-<i>N</i>-phospho-L-histidine // ADP // H<SUP>+</SUP>,sensor histidine kinase ZraS // sensor histidine kinase PyrS // sensor histidine kinase PhoR // sensor histidine kinase ArcB // sensor histidine kinase AtoS // sensor histidine kinase BaeS // sensor histidine kinase BarA // sensor histidine kinase BasS // high-affinity pyruvate receptor // sensor histidine kinase CreC // sensor histidine kinase DcuS // sensor histidine kinase DpiB // sensor histidine kinase EnvZ // histidine kinase RcsC // sensor histidine kinase EvgS // histidine kinase GlrK // sensor histidine kinase HprS // serine histidine kinase KdpD // sensor histidine kinase QseC // protein histidine kinase NtrB // sensor histidine kinase UhpB // bifunctional sensor histidine kinase PhoQ // sensor histidine kinase NarQ // sensor histidine kinase NarX // sensor histidine kinase RstB // sensor histidine kinase TorS,torS // rstB // narX // narQ // phoQ // uhpB // glnL // qseC // kdpD // hprS // glrK // evgS // rcsC // envZ // dpiB // dcuS // creC // btsS // basS // barA // baeS // atoS // arcB // phoR // pyrS // zraS,
ethylene glycol + NAD+  <-->  glycolaldehyde + NADH + H+,EC-1.1.1.2,NAD<sup>+</sup> // ethylene glycol // glycolaldehyde // NADH // H<SUP>+</SUP>,glycolaldehyde // NADH // H<SUP>+</SUP>,NADPH-dependent aldehyde reductase YqhD,yqhD,
4-hydroxy-3-(all-trans-octaprenyl)benzoate + H+  ->  2-(all-trans-octaprenyl)phenol + CO2,EC-4.1.1.98,4-hydroxy-3-(<i>all-trans</i>-octaprenyl)benzoate // H<SUP>+</SUP> // 2-(<i>all-trans</i>-octaprenyl)phenol // CO<SUB>2</SUB>,2-(<i>all-trans</i>-octaprenyl)phenol // CO<SUB>2</SUB>,3-octaprenyl-4-hydroxybenzoate decarboxylase,ubiD,ubiquinol-8 biosynthesis (anaerobic) // ubiquinol-8 biosynthesis (early decarboxylation)
an N10-formyltetrahydrofolate + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide  <-->  a tetrahydrofolate + 5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide,EC-2.1.2.3,5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide // an <i>N</i><sup>10</sup>-formyltetrahydrofolate // a tetrahydrofolate // 5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide,a tetrahydrofolate // 5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide,bifunctional AICAR transformylase/IMP cyclohydrolase,purH,inosine-5'-phosphate biosynthesis I
a 2-methylthiocytosine32 in tRNA + 2-oxoglutarate + dioxygen  ->  a 2-thiocytosine32 in tRNA + formaldehyde + succinate + CO2,EC-1.14.11,dioxygen // 2-oxoglutarate // a 2-methylthiocytosine<sup>32</sup> in tRNA // a 2-thiocytosine<sup>32</sup> in tRNA // formaldehyde // succinate // CO<SUB>2</SUB>,a 2-thiocytosine<sup>32</sup> in tRNA // formaldehyde // succinate // CO<SUB>2</SUB>,DNA oxidative demethylase,alkB,
L-lysine + tRNALys + ATP  ->  L-lysyl-[tRNALys] + AMP + diphosphate,EC-6.1.1.6,ATP // a tRNA<SUP>Lys</SUP> // L-lysine // an L-lysyl-[tRNA<SUP>Lys</SUP>] // diphosphate // AMP,an L-lysyl-[tRNA<SUP>Lys</SUP>] // diphosphate // AMP,"lysine&mdash;tRNA ligase, constitutive // lysine&mdash;tRNA ligase",lysS // lysU,tRNA charging
"D-tagatofuranose 6-phosphate + ATP  ->  D-tagatofuranose 1,6-bisphosphate + ADP + H+",EC-2.7.1.144,"ATP // D-tagatofuranose 6-phosphate // H<SUP>+</SUP> // D-tagatofuranose 1,6-bisphosphate // ADP","H<SUP>+</SUP> // D-tagatofuranose 1,6-bisphosphate // ADP",6-phosphofructokinase 2,pfkB,galactitol degradation
maltotetraose + phosphate  ->  maltotriose + alpha-D-glucopyranose 1-phosphate,EC-2.4.1.1,phosphate // maltotetraose // maltotriose // &alpha;-D-glucopyranose 1-phosphate,maltotriose // &alpha;-D-glucopyranose 1-phosphate,maltodextrin phosphorylase,malP,glycogen degradation I
carboxyphosphate + ammonia  ->  carbamate + phosphate + H+,,ammonia // carboxyphosphate // carbamate // phosphate // H<SUP>+</SUP>,carbamate // phosphate // H<SUP>+</SUP>,"carbamoyl-phosphate synthetase, glutamine-hydrolyzing",,
"UDP-N-acetyl-D-glucosamine:<i>N</i>-acetylmuramoyl-L-alanyl-D-glutamyl-<I>meso</I>-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-&beta;-N-acetylglucosaminlytransferase",EC-2.4.1.227,UDP-<i>N</i>-acetyl-&alpha;-D-glucosamine // Und-PP-MurNAc-L-Ala-&gamma;-D-Glu-<i>meso</i>-DAP-D-Ala-D-Ala // H<SUP>+</SUP> // Und-PP-[&beta;-D-GlcNAc-(1&rarr;4)]-MurNAc-L-Ala-&gamma;-D-Glu-<i>meso</i>-DAP-D-Ala-D-Ala // UDP,H<SUP>+</SUP> // Und-PP-[&beta;-D-GlcNAc-(1&rarr;4)]-MurNAc-L-Ala-&gamma;-D-Glu-<i>meso</i>-DAP-D-Ala-D-Ala // UDP,N-acetylglucosaminyl transferase,murG,peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)
tRNAHis + L-histidine + ATP  ->  L-histidyl-[tRNAHis] + AMP + diphosphate,EC-6.1.1.21,ATP // L-histidine // a tRNA<SUP>His</SUP> // an L-histidyl-[tRNA<SUP>His</SUP>] // diphosphate // AMP,an L-histidyl-[tRNA<SUP>His</SUP>] // diphosphate // AMP,histidine--tRNA ligase,hisS,tRNA charging
ATP + 4-amino-2-methyl-5-pyrimidinemethanol  ->  ADP + 4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + H+,EC-2.7.1.49,4-amino-2-methyl-5-pyrimidinemethanol // ATP // H<SUP>+</SUP> // ADP // 4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine,H<SUP>+</SUP> // ADP // 4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase // pyridoxal kinase 1 / hydroxymethylpyrimidine kinase,pdxK // thiD,hydroxymethylpyrimidine salvage
tRNA precursor with a short 3' extension + H2O  ->  uncharged tRNA + tRNA fragment,EC-3.1.13.1,H<sub>2</sub>O // a tRNA precursor with a short 3' extension // an uncharged tRNA // a tRNA fragment,an uncharged tRNA // a tRNA fragment,truncated RNase PH // ribonuclease T // RNase D // ribonuclease BN,rbn // rnd // rnt // rph,monocistronic leuX tRNA processing // polycistronic tRNA processing IV // polycistronic tRNA processing III // polycistronic tRNA processing I
pyruvate + a [pyruvate dehydrogenase E2 protein] N6-lipoyl-L-lysine + H+  ->  a [pyruvate dehydrogenase E2 protein] N6-S-acetyldihydrolipoyl-L-lysine + CO2,EC-1.2.4.1,H<SUP>+</SUP> // a [pyruvate dehydrogenase E2 protein] <i>N<sup>6</sup></i>-lipoyl-L-lysine // pyruvate // a [pyruvate dehydrogenase E2 protein] <i>N<sup>6</sup></i>-<i>S</i>-acetyldihydrolipoyl-L-lysine // CO<SUB>2</SUB>,a [pyruvate dehydrogenase E2 protein] <i>N<sup>6</sup></i>-<i>S</i>-acetyldihydrolipoyl-L-lysine // CO<SUB>2</SUB>,pyruvate dehydrogenase // pyruvate dehydrogenase // pyruvate dehydrogenase E2 subunit // lipoamide dehydrogenase,aceE,pyruvate decarboxylation to acetyl CoA I
CTP + H2O  ->  CMP + diphosphate + H+,EC-3.6.1.9 // EC-3.6.1.65,H<sub>2</sub>O // CTP // H<SUP>+</SUP> // CMP // diphosphate,H<SUP>+</SUP> // CMP // diphosphate,nucleoside triphosphate pyrophosphohydrolase,,
ATP + biotin + H+  ->  biotinyl-5'-adenylate + diphosphate,,H<SUP>+</SUP> // ATP // biotin // biotinyl-5'-adenylate // diphosphate,biotinyl-5'-adenylate // diphosphate,DNA-binding transcriptional repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA,birA,
aldehydo-D-mannose  <-->  D-mannopyranose,,<i>aldehydo</i>-D-mannose // D-mannopyranose,D-mannopyranose,,,
S-lactoylglutathione hemithioacetal  ->  (R)-S-lactoylglutathione,,(<i>R</i>)-<i>S</i>-lactoylglutathione // <i>S</i>-lactoylglutathione hemithioacetal,(<i>R</i>)-<i>S</i>-lactoylglutathione,lactoylglutathione lyase,gloA,
an Nomega-(1-hydroxy-2-oxopropyl)-[protein]-L-arginine + H2O  ->  a [protein]-L-arginine + (R)-lactate + H+,EC-3.5.1.124,H<sub>2</sub>O // an <i>N</i><sup>&omega;</sup>-(1-hydroxy-2-oxopropyl)-[protein]-L-arginine // a [protein]-L-arginine // (<i>R</i>)-lactate // H<SUP>+</SUP>,a [protein]-L-arginine // (<i>R</i>)-lactate // H<SUP>+</SUP>,protein/nucleic acid deglycase 1,hchA,
"D-xylopyranose + NADP+  ->  D-xylono-1,4-lactone + NADPH + H+",EC-1.1.1.424,"NADP<sup>+</sup> // D-xylopyranose // D-xylono-1,4-lactone // NADPH // H<SUP>+</SUP>","D-xylono-1,4-lactone // NADPH // H<SUP>+</SUP>",,,D-xylose degradation III
"3-oxo-5,6-didehydrosuberyl-CoA semialdehyde  ->  2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA + H2O",,"3-oxo-5,6-didehydrosuberyl-CoA semialdehyde // 2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA // H<sub>2</sub>O","2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA // H<sub>2</sub>O",,,
a cytidine34 in tRNA + S-adenosyl-L-methionine  ->  a 2'-O-methylcytidine34 in tRNA + S-adenosyl-L-homocysteine + H+,EC-2.1.1.207,a cytidine<sup>34</sup> in tRNA // <i>S</i>-adenosyl-L-methionine // a 2'-<i>O</i>-methylcytidine<sup>34</sup> in tRNA // <i>S</i>-adenosyl-L-homocysteine // H<SUP>+</SUP>,a 2'-<i>O</i>-methylcytidine<sup>34</sup> in tRNA // <i>S</i>-adenosyl-L-homocysteine // H<SUP>+</SUP>,tRNA (cytidine/uridine-2'-<i>O</i>)-ribose methyltransferase,trmL,
L-arabinonate  ->  2-dehydro-3-deoxy-L-pentonate + H2O,EC-4.2.1.25,L-arabinonate // H<sub>2</sub>O // 2-dehydro-3-deoxy-L-pentonate,H<sub>2</sub>O // 2-dehydro-3-deoxy-L-pentonate,,,L-arabinose degradation III // L-arabinose degradation IV
tRNA precursor with long 5' & medium 3' extensions + H2O  ->  tRNA precursor with long 5 extension & short 3 extension + tRNA fragment,EC-3.1.13.1,H<sub>2</sub>O // a tRNA precursor with long 5' &amp; medium 3' extensions // a tRNA precursor with long 5 extension &amp; short 3 extension // a tRNA fragment,a tRNA precursor with long 5 extension &amp; short 3 extension // a tRNA fragment,RNase II // polynucleotide phosphorylase // truncated RNase PH,rph // pnp // rnb,polycistronic tRNA processing II
ethylene glycol + NAD+  <-->  glycolaldehyde + NADH + H+,EC-1.1.1.77,ethylene glycol // NAD<sup>+</sup> // H<SUP>+</SUP> // glycolaldehyde // NADH,H<SUP>+</SUP> // glycolaldehyde // NADH,lactaldehyde reductase,fucO,ethylene glycol degradation
(R)-lactic acid  <-->  (S)-lactic acid,,<i>(R)</i>-lactic acid // <i>(S)</i>-lactic acid,<i>(S)</i>-lactic acid,,,
arsenous acid + 3 glutathione  ->  arsenic triglutathione + 3 H2O,,glutathione // arsenous acid // arsenic triglutathione // H<sub>2</sub>O,arsenic triglutathione // H<sub>2</sub>O,,,
O-succinyl-L-homoserine  ->  succinate + (Z)-2-aminobutenoate + H+,,<i>O</i>-succinyl-L-homoserine // succinate // (<i>Z</i>)-2-aminobutenoate // H<SUP>+</SUP>,succinate // (<i>Z</i>)-2-aminobutenoate // H<SUP>+</SUP>,O-succinylhomoserine(thiol)-lyase / O-succinylhomoserine lyase,metB,
4 Fe2+ + dioxygen + 6 H2O  ->  4 [FeO(OH)] monomer + 8 H+,EC-1.16.3.2,H<sub>2</sub>O // dioxygen // Fe<sup>2+</sup> // [FeO(OH)] monomer // H<SUP>+</SUP>,[FeO(OH)] monomer // H<SUP>+</SUP>,ferritin iron-storage complex,ftnA,
"cytidine 2',3'-cyclic monophosphate[periplasm] + H2O[periplasm]  ->  cytidine-3'-monophosphate[periplasm] + H+[periplasm]",EC-3.1.4.16,"H<sub>2</sub>O // cytidine 2',3'-cyclic monophosphate // cytidine-3'-monophosphate // H<SUP>+</SUP>",cytidine-3'-monophosphate // H<SUP>+</SUP>,"2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase",cpdB,
D-arabinopyranose  <-->  aldehydo-D-arabinose,,D-arabinopyranose // <i>aldehydo</i>-D-arabinose,<i>aldehydo</i>-D-arabinose,,,
"2 dehydroascorbate + dioxygen  ->  2 cyclic-2,3-O-oxalyl-L-threonate",,"dioxygen // dehydroascorbate // cyclic-2,3-<i>O</i>-oxalyl-L-threonate","cyclic-2,3-<i>O</i>-oxalyl-L-threonate",,,
D-galactosamine 6-phosphate + H2O  ->  D-tagatofuranose 6-phosphate + ammonium,EC-3.5.99,H<sub>2</sub>O // D-galactosamine 6-phosphate // D-tagatofuranose 6-phosphate // ammonium,D-tagatofuranose 6-phosphate // ammonium,putative galactosamine-6-phosphate deaminase/isomerase,agaS,
L-selenocysteine + a [selenocysteine lyase]-L-cysteine  ->  a [selenocysteine lyase]-S-selenopersulfide + L-alanine,,a [selenocysteine lyase]-L-cysteine // L-selenocysteine // a [selenocysteine lyase]-<i>S</i>-selenopersulfide // L-alanine,a [selenocysteine lyase]-<i>S</i>-selenopersulfide // L-alanine,L-cysteine desulfurase SufS,sufS,
aceneuramate  ->  N-acetyl-D-mannosamine + pyruvate,EC-4.1.3.3,aceneuramate // <i>N</i>-acetyl-D-mannosamine // pyruvate,<i>N</i>-acetyl-D-mannosamine // pyruvate,N-acetylneuraminate lyase,nanA,<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation I
"beta-D-fructofuranose 6-phosphate + ATP  ->  ADP + beta-D-fructofuranose 1,6-bisphosphate + H+",EC-2.7.1.11,"ATP // &beta;-D-fructofuranose 6-phosphate // H<SUP>+</SUP> // ADP // &beta;-D-fructofuranose 1,6-bisphosphate","H<SUP>+</SUP> // ADP // &beta;-D-fructofuranose 1,6-bisphosphate",6-phosphofructokinase 1 // 6-phosphofructokinase 2,pfkB // pfkA,glycolysis I (from glucose 6-phosphate) // glycolysis II (from fructose 6-phosphate)
glutathione  ->  L-cysteinylglycine + 5-oxo-L-proline,EC-4.3.2.7,glutathione // L-cysteinylglycine // 5-oxo-L-proline,L-cysteinylglycine // 5-oxo-L-proline,glutathione-specific &gamma;-glutamylcyclotransferase,chaC,
lipid II flippase,,Und-PP-[&beta;-D-GlcNAc-(1&rarr;4)]-MurNAc-L-Ala-&gamma;-D-Glu-<i>meso</i>-DAP-D-Ala-D-Ala // H<SUP>+</SUP>,Und-PP-[&beta;-D-GlcNAc-(1&rarr;4)]-MurNAc-L-Ala-&gamma;-D-Glu-<i>meso</i>-DAP-D-Ala-D-Ala // H<SUP>+</SUP>,lipid II flippase MurJ,murJ,peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)
ATP + N2-formyl-N1-(5-phospho-beta-D-ribosyl)glycinamide + L-glutamine + H2O  ->  ADP + 2-(formamido)-N1-(5-phospho-beta-D-ribosyl)acetamidine + L-glutamate + phosphate + H+,EC-6.3.5.3,H<sub>2</sub>O // L-glutamine // <i>N</i><sup>2</sup>-formyl-<i>N</i><sup>1</sup>-(5-phospho-&beta;-D-ribosyl)glycinamide // ATP // H<SUP>+</SUP> // ADP // phosphate // 2-(formamido)-N<sup>1</sup>-(5-phospho-&beta;-D-ribosyl)acetamidine // L-glutamate,H<SUP>+</SUP> // ADP // phosphate // 2-(formamido)-N<sup>1</sup>-(5-phospho-&beta;-D-ribosyl)acetamidine // L-glutamate,phosphoribosylformylglycinamide synthetase,purL,5-aminoimidazole ribonucleotide biosynthesis II // 5-aminoimidazole ribonucleotide biosynthesis I // superpathway of 5-aminoimidazole ribonucleotide biosynthesis (from PRPP)
prenyl diphosphate + H2O  ->  prenyl phosphate + phosphate + H+,EC-3.6.1.76,H<sub>2</sub>O // prenyl diphosphate // prenyl phosphate // phosphate // H<SUP>+</SUP>,prenyl phosphate // phosphate // H<SUP>+</SUP>,phosphatase NudJ // ADP-sugar pyrophosphatase,nudF // nudJ,prenylated FMNH<sub>2</sub> biosynthesis
isoguanine + H+ + H2O  ->  xanthine + ammonium,,H<sub>2</sub>O // isoguanine // H<SUP>+</SUP> // xanthine // ammonium,xanthine // ammonium,cytosine/isoguanine deaminase,codA,
a 5-carboxymethylaminomethyl-2-thiouridine34 in tRNA + oxidized electron carrier + H2O  ->  a 5-(aminomethyl)-2-thiouridine34 in tRNA + glyoxylate + reduced two electron carrier,,an oxidized electron carrier // H<sub>2</sub>O // a 5-carboxymethylaminomethyl-2-thiouridine<sup>34</sup> in tRNA // a 5-(aminomethyl)-2-thiouridine<sup>34</sup> in tRNA // glyoxylate // a reduced two electron carrier,a 5-(aminomethyl)-2-thiouridine<sup>34</sup> in tRNA // glyoxylate // a reduced two electron carrier,fused tRNA 5-aminomethyl-2-thiouridylate methyltransferase and tRNA 5-aminomethyl-2-thiouridylate synthase,mnmC,tRNA-uridine<sup>34</sup> modifications (<i>E. coli</i>)
GTP + ATP  ->  pppGpp + AMP + H+,EC-2.7.6.5,ATP // GTP // pppGpp // AMP // H<SUP>+</SUP>,pppGpp // AMP // H<SUP>+</SUP>,GDP/GTP pyrophosphokinase,relA,ppGpp metabolism
2-iminopropanoate + H2O  ->  pyruvate + ammonium,EC-3.5.99.10,H<sub>2</sub>O // 2-iminopropanoate // pyruvate // ammonium,pyruvate // ammonium,"enamine/imine deaminase, redox-regulated chaperone",ridA,L-cysteine degradation II // L-serine degradation // D-serine degradation // L-tryptophan degradation II (via pyruvate)
"UDP-alpha-D-glucose + di-trans,octa-cis-undecaprenyl phosphate  ->  UMP + alpha-D-Glc-PP-Und",EC-2.7.8.31,"<i>di-trans,octa-cis</i>-undecaprenyl phosphate // UDP-&alpha;-D-glucose // UMP // &alpha;-D-Glc-PP-Und",UMP // &alpha;-D-Glc-PP-Und,UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase,wcaJ,colanic acid (<i>Escherichia coli</i> K12) biosynthesis
"dTDP-4-amino-4,6-dideoxy-alpha-D-galactose + acetyl-CoA  ->  dTDP-4-acetamido-alpha-D-fucose + coenzyme A + H+",EC-2.3.1.210,"acetyl-CoA // dTDP-4-amino-4,6-dideoxy-&alpha;-D-galactose // H<SUP>+</SUP> // dTDP-4-acetamido-&alpha;-D-fucose // coenzyme A",H<SUP>+</SUP> // dTDP-4-acetamido-&alpha;-D-fucose // coenzyme A,"dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase",rffC,dTDP-<i>N</i>-acetylthomosamine biosynthesis
4-hydroxybutanoate + NAD+  <-  succinate semialdehyde + NADH + H+,EC-1.1.1.61,4-hydroxybutanoate // NAD<sup>+</sup> // H<SUP>+</SUP> // NADH // succinate semialdehyde,NAD<sup>+</sup> // 4-hydroxybutanoate,3-sulfolactaldehyde reductase,yihU,
"D-glucopyranose 6-phosphate + NADP+  ->  6-phospho D-glucono-1,5-lactone + NADPH + H+",EC-1.1.1.49,"NADP<sup>+</sup> // D-glucopyranose 6-phosphate // 6-phospho D-glucono-1,5-lactone // NADPH // H<SUP>+</SUP>","6-phospho D-glucono-1,5-lactone // NADPH // H<SUP>+</SUP>",NADP+-dependent glucose-6-phosphate dehydrogenase,zwf,superpathway of glycolysis and the Entner-Doudoroff pathway // pentose phosphate pathway (oxidative branch) I
a phosphatidylethanolamine[periplasm] + H2O[periplasm]  ->  a 1-lysophosphatidylethanolamine[periplasm] + a fatty acid[periplasm] + H+[periplasm],EC-3.1.1.32,H<sub>2</sub>O // a phosphatidylethanolamine // a 1-lysophosphatidylethanolamine // a fatty acid // H<SUP>+</SUP>,a 1-lysophosphatidylethanolamine // a fatty acid // H<SUP>+</SUP>,outer membrane phospholipase A,pldA,
L-idonate 2-dehydrogenase,EC-1.1.1,NADP<sup>+</sup> // L-idonate // 2-keto-L-gulonate // NADPH // H<SUP>+</SUP>,L-idonate // NADP<sup>+</sup>,glyoxylate reductase,ghrB,ketogluconate metabolism
tRNAGln + L-glutamine + ATP  ->  L-glutaminyl-[tRNAGln] + AMP + diphosphate,EC-6.1.1.18,ATP // L-glutamine // a tRNA<SUP>Gln</SUP> // an L-glutaminyl-[tRNA<SUP>Gln</SUP>] // diphosphate // AMP,an L-glutaminyl-[tRNA<SUP>Gln</SUP>] // diphosphate // AMP,glutamine&mdash;tRNA ligase,glnS,tRNA charging
a [SufE sulfur-carrier protein]-S-sulfanyl-L-cysteine + a [SufB Fe-S cluster scaffold protein]-L-cysteine  ->  a [SufE sulfur-carrier protein]-L-cysteine + a [SufB Fe-S cluster scaffold protein]-S-sulfanyl-L-cysteine,,a [SufB Fe-S cluster scaffold protein]-L-cysteine // a [SufE sulfur-carrier protein]-S-sulfanyl-L-cysteine // a [SufE sulfur-carrier protein]-L-cysteine // a [SufB Fe-S cluster scaffold protein]-S-sulfanyl-L-cysteine,a [SufE sulfur-carrier protein]-L-cysteine // a [SufB Fe-S cluster scaffold protein]-S-sulfanyl-L-cysteine,sulfur carrier protein SufE,sufE,
a [protein]-L-beta-isoaspartate + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + a protein L-beta-isoaspartate alpha-methyl ester,EC-2.1.1.77,a [protein]-L-&beta;-isoaspartate // <i>S</i>-adenosyl-L-methionine // <i>S</i>-adenosyl-L-homocysteine // a protein L-&beta;-isoaspartate &alpha;-methyl ester,<i>S</i>-adenosyl-L-homocysteine // a protein L-&beta;-isoaspartate &alpha;-methyl ester,protein-L-isoaspartate <i>O</i>-methyltransferase,pcm,
xylitol + NADP+  <-->  L-xylulose + NADPH + H+,EC-1.1.1.10,NADP<sup>+</sup> // xylitol // L-xylulose // NADPH // H<SUP>+</SUP>,L-xylulose // NADPH // H<SUP>+</SUP>,,,L-arabinose degradation II
2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate + 4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine + 2 H+  ->  thiamine phosphate + CO2 + diphosphate,EC-2.5.1.3,H<SUP>+</SUP> // 4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine // 2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate // thiamine phosphate // CO<SUB>2</SUB> // diphosphate,thiamine phosphate // CO<SUB>2</SUB> // diphosphate,thiamine phosphate synthase,thiE,thiamine diphosphate salvage V
L-glutamine + chorismate  ->  4-amino-4-deoxychorismate + L-glutamate,EC-2.6.1.85,chorismate // L-glutamine // 4-amino-4-deoxychorismate // L-glutamate,4-amino-4-deoxychorismate // L-glutamate,aminodeoxychorismate synthase subunit 1 // aminodeoxychorismate synthase subunit 2,pabA // pabB,4-aminobenzoate biosynthesis I
<i>trans</i> dodec-2-enoyl-[acp] reductase,EC-1.3.1.9,NAD<sup>+</sup> // a dodecanoyl-[acp] // a (2<i>E</i>)-dodec-2-enoyl-[acp] // NADH // H<SUP>+</SUP>,a dodecanoyl-[acp] // NAD<sup>+</sup>,enoyl-[acyl-carrier-protein] reductase,fabI,palmitate biosynthesis II (type II fatty acid synthase)
beta-D-ManNAcA-(1->4)-alpha-D-GlcNAc-PP-Und + dTDP-4-acetamido-alpha-D-fucose  ->  alpha-D-Fuc4NAc-(1->4)-beta-D-ManNAcA-(1->4)-GlcNAc-PP-Und + dTDP + H+,EC-2.4.1.325,dTDP-4-acetamido-&alpha;-D-fucose // &beta;-D-ManNAcA-(1&rarr;4)-&alpha;-D-GlcNAc-PP-Und // H<SUP>+</SUP> // &alpha;-D-Fuc4NAc-(1&rarr;4)-&beta;-D-ManNAcA-(1&rarr;4)-GlcNAc-PP-Und // dTDP,H<SUP>+</SUP> // &alpha;-D-Fuc4NAc-(1&rarr;4)-&beta;-D-ManNAcA-(1&rarr;4)-GlcNAc-PP-Und // dTDP,TDP-<i>N</i>-acetylfucosamine:lipid II <i>N</i>-acetylfucosaminyltransferase,wecF,enterobacterial common antigen biosynthesis
